video_path,n_frames,dog_max,cat_max,dog_present,cat_present
7171449726158589189,14,0.002657159697264433,0.0015108021907508373,0,0
7168916057166597382,15,0.007383624091744423,0.003049412276595831,0,0
7533124404062981398,18,0.02328200452029705,0.004979465622454882,0,0
7224426315074522395,28,0.7809684872627258,0.003200120059773326,0,0
7547744113433627926,20,0.005039529874920845,0.003899691626429558,0,0
7495322095065238806,14,0.04741206020116806,0.0018560306634753942,0,0
7509512878026788118,24,0.012887079268693924,0.004140915349125862,0,0
7164397666472873222,14,0.03567250072956085,0.004626068752259016,0,0
7350221322317761825,17,0.004013547673821449,0.0032706877682358027,0,0
7535123405562006806,13,0.004458149895071983,0.003458181396126747,0,0
7395189160081935649,29,0.0021867677569389343,0.0017038967926055193,0,0
7471286673494527254,28,0.08429718762636185,0.0027895753737539053,0,0
7423318018853178657,24,0.04505525901913643,0.01117426436394453,0,0
7517939109512449302,25,0.031364213675260544,0.010276354849338531,0,0
7140222885389536517,14,0.0030219154432415962,0.0032231444492936134,0,0
7132514036276628742,20,0.009531124494969845,0.03775360435247421,0,0
7567372771060124950,18,0.006699693389236927,0.003610860789194703,0,0
7336238126651706656,21,0.7713675498962402,0.0026290547102689743,0,0
7577797962017918230,20,0.0032523472327739,0.001344806281849742,0,0
7556999098637880598,25,0.023575257509946823,0.0030474290251731873,0,0
7468323433714126112,27,0.059880636632442474,0.0033747598063200712,0,0
7476765597204860182,14,0.003645980730652809,0.00214103190228343,0,0
7441976604730936609,30,0.8071994781494141,0.004841664806008339,0,0
6921604099553119494,29,0.04811769351363182,0.00456326175481081,0,0
7325049996682759456,21,0.005850598216056824,0.0032096663489937782,0,0
7564663320058285334,13,0.006306971423327923,0.005448192358016968,0,0
7454218208648727840,23,0.07845714688301086,0.0054454198107123375,0,0
7296855348714016033,18,0.7607623934745789,0.007064581848680973,0,0
7192709681280781574,20,0.008445621468126774,0.0036800988018512726,0,0
7161354120849427717,16,0.037532683461904526,0.002200664486736059,0,0
7468709057516326177,20,0.049397096037864685,0.008499696850776672,0,0
7094270154275605765,18,0.005196840967983007,0.02135855332016945,0,0
6955364241213771014,24,0.0037609462160617113,0.0025933468714356422,0,0
7093804812864670981,24,0.024335641413927078,0.09503348171710968,0,0
7440066420332924192,24,0.023285994306206703,0.003906773868948221,0,0
