video_id,bluebird_score
7473224176086584598,0.012192007211538465
7553223847730777346,0.0012351233108914674
7520582757412556054,0.24890760015710917
7446341554735828256,0.8782177106953893
7587478416618736918,0.19624242844592407
7495368561821535510,0.24087906616712482
7576319921030827286,0.8597742732257396
7351073088601148704,0.3742458767361111
7286830586478578976,0.2292470691980496
7341738165746634017,0.823078019521985
7390334004001639713,0.21057697837589143
7322420132649749793,0.6991061099825068
7305425778076880161,0.7511231648866682
7471566242168491286,0.394171626984127
7340356860299496736,0.0036725868974132867
7483098002547100950,0.03681581005799756
7570012092829748502,0.8287853510075732
7604101089775865110,0.19221199156746033
7594160012247797014,0.7523796893371546
7586630099286510870,0.2838434193121693
7283105183352016160,0.057863481040564366
7471289820795374870,0.649955822172619
7476865863409257750,0.28317522321428573
7343970143497653537,0.08003678902116404
7267879991004761376,0.9695084246347943
7491632736105450774,0.14642923280423278
7312523032025730337,0.6850945702355017
7507578375586712854,0.09051875925130116
7319919643378912544,0.004814755763416478
7582254546236230934,0.25479726998824226
7596412614402460950,0.12859623015873015
7493891893026180374,0.026317477422003285
7481624954484690198,0.0640411430776014
7575110522522144022,0.002140090811965812
7546567057056353558,0.3495812908496732
7261958198775532832,0.7858816198804625
7304272406548319520,0.1422141252334267
7517987561692794134,0.0
7274897399045246241,0.6259715576045233
7523154104273915158,0.34949840290709705
7597422827196763414,0.0016826499118165784
7447184186034654496,0.0
7303968237966904609,1.2400793650793649e-06
7469067273794456854,0.402235387194016
7338778286597655840,0.6335602618664214
7325457714312727840,0.5449182334971026
7470495287212084503,0.005197007352179766
7321012358594235681,0.20468401227678573
7598574537407548694,0.1175533234126984
7578151818585328918,0.4288460743538869
7465714414814137623,0.0
7580000663845850390,0.7660590277777778
7566632651352853782,0.2535890200240117
7291228337123511585,0.17047551579699566
7309133635578236192,0.3040633729050279
7593664206210157827,0.0
7447538385993895201,0.022738663607804233
7318832237842156832,0.12010044642857144
7450183993355488545,0.9575332125603866
7442354645382532385,0.0
7466514918137728278,0.0831058378212396
7598953535165959426,0.0031980268959435625
7606743080678591766,1.0
7333562774750088480,0.026389793113425927
7315822267781467424,0.006318054262362923
7321436866287373600,4.590469228627123e-05
7399975638112783649,0.596455258516662
7591891163175554326,0.8510572583078067
7453069595327384865,0.9846561259920634
7372132003078032672,0.03820920729402872
7457587495031606560,0.40933862433862434
7323667240933444896,7.009144237405106e-05
