id;loopable;mae
706984407912259;1;0.9862683776627719
716590840779337;1;0.9996930444764535
716893577277761;1;0.9998506878488886
721271065767267;1;1.0
726787999100476;1;0.988023360240103
729641726459144;1;0.981147603215172
735020753777122;1;0.9570408210391651
744783516344423;1;0.9724542737476712
747673816752205;1;0.9910425847502993
747948118410004;1;0.9836923694666444
748093833513386;1;0.9706732396373104
756731887639290;1;0.9830735877527751
759737005455601;1;0.9789624091059828
760410108977586;1;0.9571576887358652
673980477101377;0;0.37703678334558755
675098314187322;0;0.5150776909847299
676467853734661;0;0.395753473390675
676886077752582;0;0.5199924763798884
679213126054322;0;0.5423855641683634
679213361036006;0;0.22653842851729192
679334793929407;0;0.48424923505753464
679376569461914;0;0.23053956047564625
679447037321258;0;0.6608708909707666
679560600222279;0;0.7033075599822951
679636335181655;0;0.4041445790665948
679636407709547;0;0.2831793157685445
679703927305385;0;0.3708915175368707
679864109410926;0;0.1881715235424187
679864887140181;0;0.6623245406181592
680098267165788;0;0.27596861624581615
680255884311411;0;0.30394649670556884
681417572370468;0;0.00038012217980102237
682154736588790;0;0.1480580783487605
682597587994082;0;0.6913259597062953
683405637935599;0;0.09744058424915941
683442053754508;0;0.32557925064608395
684790254109566;0;0.10494380849036242
685264047101392;0;0.19558973523727108
685573188643876;0;0.08731610271117178
686076621399209;0;0.38316783543473476
686445882801289;0;0.10540774713033782
686480646732990;0;0.28872363327757516
686962182503535;0;0.3565919379270646
687489097763139;0;0.47763175872115105
687561042257835;0;0.21658549559603252
687569901952029;0;0.5137500878449104
687636212426069;0;0.1468408414728725
687636984359194;0;0.28547985297165746
687684753693874;0;0.05414432055417562
687821936739026;0;0.33463329853962287
687940733548421;0;0.5660862268298219
688011794243295;0;0.44812834666504636
688079211532914;0;0.44126777013158947
688338958327118;0;0.2774618570547868
688356142972772;0;0.11010887326097667
688387679338057;0;0.4182934400117294
688573512401355;0;0.135528494093674
688598438567012;0;0.18532967973468611
688607631528855;0;0.4478412646151873
688788384595417;0;0.3335022432824543
689131969722089;0;0.999795762759435
689164529623379;0;0.3985311768308612
689388822884838;0;0.593307754669371
689453088610504;0;0.38120062921304526
689528876135411;0;0.3628284808069418
689529277285782;0;0.6865545224892439
689574739640428;0;0.4102637557218625
689605576198263;0;0.47755643537533954
689644648308048;0;0.14529315715925006
689645561752381;0;0.31076855274401227
689790029163140;0;0.1698868485376046
689901579108621;0;0.005219231225945494
690460921143135;0;0.19595196740897958
691392949030542;0;0.6645978288352711
691504565499791;0;0.24414535921932512
691869169479169;0;0.26948409878851304
691982499991424;0;0.23036971140808601
691987235728897;0;0.2703517991891673
692016057942448;0;0.2546430586261883
